group,total_income,salary,dividend,interest,rental,business,other,withholding_tax,salary_ratio,dividend_ratio,interest_ratio,rental_ratio,business_ratio,other_ratio,shannon_entropy,tax_burden_rate
low,241202,52594,79724,39634,5657,61016,2573,10532,0.21804960157875972,0.33052793923765145,0.16431870382500974,0.023453371033407684,0.2529663933134883,0.01066740740126533,2.133624264441063,0.04366464623013076
low,217835,10423,202315,3963,0,874,257,9456,0.04784814194229577,0.9287534142814515,0.018192668763054604,0.0,0.004012211077191452,0.0011797920444373035,0.45744981078152724,0.0434090022264558
low,155508,45969,81810,24539,281,874,2033,8631,0.2956053707847828,0.5260822594335983,0.15779895568073668,0.0018069809913316356,0.0056202896314016,0.013073282403477635,1.5678703713521283,0.05550196774442472
low,265692,92425,119491,4821,0,1587,47365,15871,0.3478651972961173,0.4497350315402797,0.018145070231696852,0.0,0.005973081613296599,0.17827032804901916,1.641009084766164,0.05973457988949611
low,150834,37951,77978,27733,0,0,7169,6225,0.25160772770065104,0.5169789304798653,0.1838643807099195,0.0,0.0,0.04752907169471074,1.6510865301202313,0.04127053582083615
low,127029,10355,92682,18339,308,630,4712,6167,0.08151681899408797,0.7296129230333231,0.14436860874288548,0.0024246431917121286,0.004959497437592991,0.037093891945933606,1.265082524351468,0.048547969361326944
low,204746,34005,146761,21852,901,0,1225,11499,0.1660838306975472,0.7167954441112403,0.10672735975305989,0.004400574370195266,0.0,0.005983022867357604,1.1976323641429356,0.05616226934836334
low,285178,57273,191588,27616,0,251,8448,12673,0.20083246253217288,0.6718190042710167,0.09683776448393634,0.0,0.0008801520453891955,0.029623603503776588,1.3361551770523579,0.044438911837519024
low,172408,24404,118124,937,25496,15,3428,7023,0.14154795601132197,0.6851422207786182,0.005434782608695652,0.1478817688274326,8.700292329822282e-05,0.01988306807108719,1.3352468096650658,0.040734768688227924
low,202561,102175,77284,10329,4,7,12758,11052,0.5044159537127088,0.3815344513504574,0.050992046840211094,1.9747137899200735e-05,3.4557491323601285e-05,0.06298349632950075,1.4993868631274558,0.05456134201549163
low,346565,43799,220587,77766,0,4287,124,15432,0.12638033269372267,0.6364953183385512,0.2243908069193369,0.0,0.012369973886572504,0.00035779723861324714,1.3582447761280145,0.04452844343773895
low,129286,32152,73082,10197,0,6253,7599,6607,0.24868895317358414,0.5652738888974831,0.07887164890243337,0.0,0.0483656389709636,0.05877666568692666,1.705152411257653,0.051103754466840956
low,103955,30071,30381,35944,3822,3451,283,6026,0.2892693954114761,0.29225145495647153,0.3457649944687605,0.036765908325717855,0.03319705641864268,0.002722331778173248,1.9275695610219687,0.05796738973594344
low,222334,34786,153647,6752,0,14,27132,12669,0.1564583014743584,0.6910638948608849,0.030368724531560625,0.0,6.296832693155343e-05,0.12203261759335055,1.311421562892293,0.056981838135417885
low,274726,177648,71110,12790,0,2548,10626,13695,0.646637012878286,0.25883971666314803,0.04655547709354047,0.0,0.009274695514803841,0.03867853788865997,1.361543149374636,0.049849668396875435
low,253970,26705,125533,23001,17843,133,60752,15068,0.10515021459227468,0.49428278930582353,0.09056581486002284,0.07025632948773478,0.0005236838996731897,0.2392093554356814,1.9264883888586668,0.05932984210733551
low,140926,16910,93627,18186,530,0,11670,7724,0.11999205256659523,0.6643699530249918,0.1290464499098818,0.0037608390218980174,0.0,0.08280941770858465,1.4681163924907146,0.05480890680215148
low,304957,95079,172124,13076,8687,629,15358,17051,0.3117783818702309,0.5644205576523903,0.042878176267473776,0.02848598326977246,0.0020625858727623893,0.05036119846404575,1.5665553970997892,0.05591280082109937
low,174311,62002,97636,7322,20,0,7328,7724,0.35569757502395144,0.5601252932976117,0.04200538118649999,0.00011473745202540288,0.0,0.042039802422107614,1.3846228278852546,0.04431160397221059
low,147644,17241,88730,30904,9788,18,961,6137,0.1167741323724635,0.6009726097911192,0.2093142965511636,0.06629460052558858,0.00012191487632413102,0.006508899785971661,1.5839518925139304,0.041566199777844
low,242002,91291,107558,19384,607,31,23128,12640,0.37723241956678044,0.44445087230684044,0.08009851158254891,0.0025082437335228634,0.00012809811489161246,0.09556945810365204,1.6893063176984813,0.05223097329774134
low,107684,14435,43955,43535,2,122,5632,4404,0.13404962668548717,0.4081850599903421,0.4042847591099885,1.857286133501727e-05,0.0011329445414360536,0.05230117751940864,1.6785403202033584,0.04089744065970803
low,351940,23260,221539,86282,275,2252,18330,18605,0.06609081093368188,0.6294794567255783,0.24516110700687618,0.0007813831903165313,0.006398817980337558,0.05208274137637097,1.4533497654856917,0.0528641245666875
low,464130,146335,247706,33278,5390,0,31418,25388,0.3152888199426885,0.5336996100230539,0.07169973929717967,0.011613125632904574,0.0,0.06769224139788421,1.618734547230601,0.054700191756619915
low,214861,27954,154389,1693,0,10116,20707,9037,0.13010271757089467,0.7185529249142469,0.007879512801299445,0.0,0.047081601593588415,0.09637393477643685,1.313338856478087,0.04205975025714299
low,121355,20774,72490,8227,0,13884,5977,5565,0.17118371719335834,0.5973383873758806,0.06779283919080384,0.0,0.11440814140332084,0.049252193976350375,1.7149432090474201,0.0458571958304149
low,278256,158729,99677,17862,4,147,1834,14570,0.5704423264907136,0.35822048760853314,0.06419268587200276,1.4375251566902421e-05,0.000528290495083664,0.00659105284342476,1.3005566743026453,0.05236185383244207
low,197043,22880,81728,41486,34655,88,16203,9553,0.11611678669122984,0.4147724100830783,0.2105428764279878,0.17587531655526967,0.00044660302573549935,0.08223078211354883,2.102889079580021,0.04848180346421847
low,163367,25874,76295,46086,13543,21,1545,6574,0.1583795993070816,0.4670159824199502,0.28210103631700406,0.0828992391364229,0.00012854493257512226,0.00945723432516971,1.8121624496066138,0.04024068508327875
low,269157,49751,170359,37042,133,360,11508,11010,0.18484007475191058,0.6329354243062599,0.13762227993327314,0.0004941353930977087,0.0013375093347005652,0.04275571506592806,1.474264584158429,0.040905493819592284
low,202085,28649,110955,13463,37,37392,11586,9334,0.14176707820966425,0.5490511418462528,0.06662048148056511,0.0001830912734740332,0.18503105129029865,0.05733231066135537,1.8239610461057545,0.04618848504342232
low,114999,26340,64873,17634,4201,0,1948,6870,0.22904546996060834,0.5641179488517292,0.15334046383012026,0.03653075244132558,0.0,0.01693927773284985,1.6418426907785537,0.05973964990999922
low,356957,112538,127900,60712,2,0,55803,21393,0.31527046675089715,0.35830646268318034,0.17008211073042412,5.60291575736013e-06,0.0,0.15632975400398366,1.9089117488154008,0.05993158839860263
low,221061,88122,97531,13198,12346,7,9854,9344,0.39863205178661093,0.44119496428587585,0.05970297791107432,0.05584883810350989,3.1665467902524644e-05,0.04457593153021112,1.7254974903285112,0.04226887601159861
low,104303,16023,72234,8131,1517,0,6396,5640,0.15361974248104082,0.6925400036432318,0.07795557174769661,0.014544164597374955,0.0,0.06132134262677008,1.4049438404088066,0.054073228957939846
low,313641,73937,206046,4362,15960,1472,11861,17955,0.23573767460249137,0.6569485494562254,0.013907620496044841,0.05088620429089309,0.004693263954648787,0.03781712212370194,1.4090619038853323,0.057246979827254726
low,352372,71853,242105,36714,218,0,1479,15073,0.20391234263789404,0.6870721850771344,0.1041910253936181,0.0006186643660676784,0.0,0.0041972687954775064,1.21947800351445,0.04277581646668861
