"﻿分位別","納稅單位","合計","營利所得","執行業務所得","薪資所得","利息所得","租賃及權利金","財產交易所得","機會中獎所得","股利所得","退職所得","其他所得","稿費所得","申報大於歸戶所得戶數","歸戶所得來源-本縣市","歸戶所得來源-外縣市"
"第1分位","331755","100.00","1.89","1.92","24.11","13.85","0.91","0.07","0.97","52.67","0.01","3.01","0.59","0.69","30.70","69.30"
"第2分位","331755","100.00","2.65","2.14","17.21","14.59","1.41","0.17","0.76","58.14","0.01","2.55","0.39","0.88","31.44","68.56"
"第3分位","331755","100.00","2.25","1.93","19.07","14.13","1.58","0.17","0.90","56.70","0.01","2.98","0.30","0.93","32.35","67.65"
"第4分位","331755","100.00","2.06","1.84","19.64","13.92","1.67","0.16","1.09","55.66","0.01","3.68","0.27","0.98","32.53","67.47"
"第5分位","331755","100.00","1.87","1.75","19.47","13.84","1.74","0.15","1.26","55.61","0.01","4.03","0.27","0.89","32.33","67.67"
"第6分位","331755","100.00","1.78","1.68","19.14","13.98","1.76","0.14","1.39","55.51","0.01","4.35","0.26","0.83","32.36","67.64"
"第7分位","331755","100.00","1.76","1.59","19.04","14.08","1.76","0.14","1.46","55.36","0.01","4.53","0.26","0.79","32.22","67.78"
"第8分位","331755","100.00","1.67","1.54","19.00","14.25","1.80","0.14","1.48","55.28","0.01","4.59","0.25","0.72","32.03","67.97"
"第9分位","331755","100.00","1.62","1.46","18.22","14.31","1.82","0.14","1.50","56.06","0.01","4.61","0.24","0.77","31.69","68.31"
"第10分位","331755","100.00","1.51","1.45","17.76","14.54","1.85","0.15","1.50","56.42","0.01","4.60","0.23","0.77","31.44","68.56"
"第11分位","331755","100.00","1.48","1.42","17.25","14.63","1.86","0.14","1.50","56.91","0.01","4.57","0.24","0.80","31.04","68.96"
"第12分位","331755","100.00","1.45","1.37","16.51","14.83","1.87","0.15","1.51","57.57","0.01","4.50","0.24","0.82","30.52","69.48"
"第13分位","331755","100.00","1.38","1.33","15.50","14.85","1.88","0.15","1.48","58.81","0.01","4.37","0.25","0.84","30.07","69.93"
"第14分位","331755","100.00","1.32","1.27","14.70","14.94","1.88","0.15","1.46","59.74","0.01","4.28","0.25","0.89","29.93","70.07"
"第15分位","331755","100.00","1.27","1.23","14.00","15.27","1.93","0.15","1.44","60.26","0.01","4.18","0.27","0.90","29.78","70.22"
"第16分位","331754","100.00","1.20","1.17","13.57","15.60","1.94","0.16","1.41","60.55","0.01","4.08","0.30","0.93","29.81","70.19"
"第17分位","331754","100.00","1.14","1.12","12.66","15.54","1.98","0.16","1.38","61.71","0.02","3.93","0.36","1.02","29.26","70.74"
"第18分位","331754","100.00","1.10","1.03","11.95","15.77","2.03","0.16","1.38","62.31","0.02","3.77","0.47","1.10","29.17","70.83"
"第19分位","331754","100.00","1.03","0.91","11.54","16.25","2.11","0.17","1.36","62.44","0.03","3.54","0.62","1.21","29.41","70.59"
"第20分位","331754","100.00","0.93","0.79","10.67","17.83","2.59","0.21","1.35","61.16","0.04","3.31","1.12","1.51","31.84","68.16"
"合計","6635095","100.00","1.38","1.28","14.89","15.36","1.95","0.16","1.37","59.23","0.02","3.94","0.44","0.91","30.65","69.35"
